將軍潮位站,潮位觀測資料
﻿"位置：23°12'41""N","120°04'58""E",臺南將軍漁港
﻿儀器型式：音波式
﻿潮高基準：相對臺灣高程基準TWVD2001基隆海平面
﻿潮高參考水準點：C4N01,2024年高程2344公厘,(據內政部公告高程基準檢測工作報告)
﻿資料來源：中央氣象署
﻿st: 站碼，yyyymmddhh：西元年月日時
﻿00：0分潮高,06：6分潮高,依此類推
﻿潮高單位：公厘
﻿時間不連續,表示缺觀測資料
﻿時間：民國112年1月,民國112年12月
﻿將軍潮位站,Hourly Tidal Observation Data
﻿"Location:23°12'41""N","120°04'58""E",臺南將軍漁港
﻿Instrument Type:音波式
﻿Tide Datum:Relative to the TaiWan Vertical Datum 2001 (TWVD2001) MSL
﻿Tide Gauge Bench Mark: C4N01,2024年高程2344公厘,(據內政部公告高程基準檢測工作報告)
﻿Data sources: Central Weather Administration
﻿st:StationID ; yyyymmddhh:YearMonthDayHour;
﻿Tidal height unit: mm; tidal height voids or time skips means data missing.
﻿Period:2023/01-,民國2023/12
st,yyyymmddhh,:00,:06,:12,:18,:24,:30,:36,:42,:48,:54,QC
1176,2023010100,-243,-271,-301,-295,-260,-232,-226,-227,-228,-207,Q
1176,2023010101,-184,-188,-178,-146,-106,-120,-144,-125,-83,-60,Q
1176,2023010102,-56,-42,-13,42,57,28,54,119,141,125,Q
1176,2023010103,136,206,271,259,232,267,344,361,345,381,Q
1176,2023010104,391,445,453,448,448,475,564,543,532,536,Q
1176,2023010105,558,599,618,582,548,567,620,642,600,592,Q
1176,2023010106,604,622,618,563,520,542,561,549,520,497,Q
1176,2023010107,498,477,434,460,481,410,363,365,361,315,Q
1176,2023010108,311,292,242,207,224,219,163,113,94,80,Q
1176,2023010109,59,48,50,10,-14,-31,-20,-33,-91,-135,Q
1176,2023010110,-144,-119,-131,-159,-151,-146,-159,-179,-203,-208,Q
1176,2023010111,-187,-181,-193,-197,-197,-197,-195,-185,-164,-162,Q
1176,2023010112,-156,-155,-167,-161,-128,-103,-99,-99,-101,-93,Q
1176,2023010113,-87,-58,-11,29,8,-22,-7,25,54,79,Q
1176,2023010114,135,165,114,95,178,249,217,188,256,367,Q
1176,2023010115,399,351,324,369,442,485,478,476,547,606,Q
